url,title,author,date,category,filename
https://www.akademiye.org/ug/?page_id=12832,شەرقىي تۈركىستان,None,None,None,ug-12832-text.txt
https://www.akademiye.org/ug/?page_id=10,ئالاقە,None,None,None,ug-10-text.txt
https://www.akademiye.org/ug/?page_id=14,ئىئانە,None,None,None,ug-14-text.txt
https://www.akademiye.org/ug/?page_id=16,تەۋپىق ئوقۇش مۇكاپاتى,None,None,None,ug-16-text.txt
https://www.akademiye.org/ug/?page_id=6538,ئاكادېمىيە تور كۈتۈپخانىسى,None,None,None,ug-6538-text.txt
https://www.akademiye.org/ug/?p=453,نەۋايى ۋە ئانا تىل غۇرۇرى,ئاكادېمىيە,"ئىيۇن 24, 2012",ئومۇمى,ug-453-text.txt
https://www.akademiye.org/ug/?p=153,ئانا تىل نېمە ئۈچۈن ئىنتايىن مۇھىم؟,ئاكادېمىيە,"ئىيۇن 17, 2012",ئانا تىل,ug-153-text.txt
https://www.akademiye.org/ug/?p=326,ئۇيغۇرلارنىڭ تىل سەنئىتى,ئاكادېمىيە,"ئىيۇن 20, 2012",مەدەنىيەت بوستانى,ug-326-text.txt
https://www.akademiye.org/ug/?p=157467,ۋىرۇستىن كېيىنكى دۇنيا ۋە شەرقىي تۈركىستان,ئاكادېمىيە,"ماي 01, 2020",مىللىي مەۋجۇتلۇق,ug-157467-text.txt
https://www.akademiye.org/ug/?p=157566,ئابدۇرېھىم ئۆتكۈر، زىيا سەمەدى ۋە زوردۇن سابىر قاتارلىقلاردىن ئۇيغۇر تراگېدىيەسىگە دىئاگنوز,ئاكادېمىيە,"ماي 09, 2020",مىللىي مەۋجۇتلۇق,ug-157566-text.txt
https://www.akademiye.org/ug/?p=2051,ئاپپاق خوجىنىڭ «جاھان كېزىش» نامى بىلەن تىبەتكە قىلغان سەپىرى ھەققىدە,ئاكادېمىيە,"ئاپرېل 04, 2013",تارىختىن تامچە,ug-2051-text.txt
